Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,,,
Horizontal Units,S,,,,,
Horizontal Scale,0.01,,,,,
Sample Interval,1.92012e-05,,,,,
Filter Frequency,2e+08,,,,,
Record Length,5208,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,
Vertical Units,V,,V,,V,
Vertical Offset,0,,0,,0,
Vertical Scale,1,,0.5,,0.2,
Label,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
2.4560e-02,1.76,1.68,0.94,0.86,-0.244,-0.252
2.4580e-02,1.8,1.92,0.94,1.04,-0.22,-0.196
2.4599e-02,1.8,1.64,0.94,0.84,-0.228,-0.244
2.4618e-02,1.88,1.96,0.96,1.08,-0.212,-0.196
2.4637e-02,1.92,1.72,0.92,0.84,-0.228,-0.252
2.4656e-02,1.88,2.08,0.94,1.1,-0.22,-0.196
2.4676e-02,1.92,1.76,0.94,0.82,-0.228,-0.244
2.4695e-02,1.96,2.08,0.94,1.08,-0.228,-0.196
2.4714e-02,1.96,1.8,0.9,0.84,-0.212,-0.244
2.4733e-02,2,2.16,0.92,1.1,-0.212,-0.188
2.4752e-02,2.08,1.96,0.94,0.9,-0.212,-0.228
2.4772e-02,2.04,2.16,0.96,1.02,-0.204,-0.172
2.4791e-02,2.12,1.88,0.96,0.86,-0.204,-0.212
2.4810e-02,2.12,2.24,0.96,1.14,-0.196,-0.164
2.4829e-02,2.16,2,0.96,0.84,-0.188,-0.212
2.4848e-02,2.16,2.32,0.98,1.12,-0.188,-0.164
2.4868e-02,2.24,2.04,0.98,0.86,-0.18,-0.204
2.4887e-02,2.24,2.36,0.98,1.12,-0.188,-0.156
2.4906e-02,2.28,2.08,0.98,0.86,-0.18,-0.204
2.4925e-02,2.24,2.4,0.98,1.12,-0.18,-0.148
2.4944e-02,2.32,2.2,1,0.9,-0.18,-0.196
2.4964e-02,2.32,2.36,0.98,1.04,-0.164,-0.14
2.4983e-02,2.36,2.16,1,0.9,-0.156,-0.18
2.5002e-02,2.36,2.52,1.02,1.16,-0.156,-0.132
2.5021e-02,2.4,2.24,1,0.92,-0.148,-0.18
2.5040e-02,2.4,2.56,1,1.16,-0.156,-0.124
2.5060e-02,2.44,2.24,1,0.88,-0.156,-0.18
2.5079e-02,2.44,2.6,1,1.14,-0.164,-0.124
2.5098e-02,2.48,2.32,1,0.9,-0.164,-0.18
2.5117e-02,2.44,2.56,1.02,1.16,-0.148,-0.124
2.5136e-02,2.48,2.24,1,0.92,-0.156,-0.172
2.5156e-02,2.48,2.6,1,1.14,-0.148,-0.116
2.5175e-02,2.52,2.32,1.02,0.92,-0.14,-0.156
2.5194e-02,2.52,2.64,1,1.18,-0.148,-0.1
2.5213e-02,2.56,2.32,1.04,0.92,-0.124,-0.156
2.5232e-02,2.56,2.68,1.02,1.18,-0.132,-0.1
2.5252e-02,2.56,2.4,1.04,0.92,-0.124,-0.156
2.5271e-02,2.56,2.72,1.02,1.16,-0.124,-0.1
2.5290e-02,2.6,2.52,1.04,0.96,-0.132,-0.148
2.5309e-02,2.6,2.64,1.04,1.06,-0.124,-0.1
2.5328e-02,2.6,2.4,1,0.92,-0.132,-0.148
2.5348e-02,2.56,2.72,1.02,1.16,-0.124,-0.092
2.5367e-02,2.6,2.44,1.02,0.92,-0.116,-0.132
2.5386e-02,2.64,2.76,1.04,1.18,-0.116,-0.084
2.5405e-02,2.68,2.44,1.02,0.94,-0.1,-0.132
2.5424e-02,2.68,2.8,1.04,1.18,-0.108,-0.076
2.5444e-02,2.68,2.44,1.02,0.94,-0.116,-0.132
2.5463e-02,2.68,2.8,1.04,1.18,-0.108,-0.084
2.5482e-02,2.72,2.6,1.04,0.96,-0.116,-0.132
2.5501e-02,2.64,2.76,1.04,1.08,-0.108,-0.084
2.5520e-02,2.68,2.48,1.02,0.94,-0.108,-0.124
2.5540e-02,2.68,2.84,1.04,1.18,-0.092,-0.076
2.5559e-02,2.72,2.48,1.04,0.96,-0.092,-0.116
2.5578e-02,2.68,2.84,1.04,1.18,-0.1,-0.06
2.5597e-02,2.72,2.52,1.02,0.94,-0.076,-0.108
2.5616e-02,2.72,2.88,1.06,1.22,-0.076,-0.052
2.5636e-02,2.76,2.6,1.04,0.94,-0.084,-0.108
